note,disease
"Patient reports increased thirst, frequent urination, and unexplained weight loss. Fasting blood sugar level is elevated.","Diabetes"
"Patient experiences blurred vision and fatigue. Recent lab tests show high A1C levels.","Diabetes"
"History of slow-healing sores and frequent infections. High glucose levels detected in routine screening.","Diabetes"
"Polydipsia and polyuria noted in patient history. Blood sugar monitoring shows values consistently above 200 mg/dL.","Diabetes"
"Patient complains of tingling in hands and feet. Diagnosis of type 2 diabetes mellitus confirmed.","Diabetes"
"Patient presents with chest pain, shortness of breath, and pain in the left arm during physical activity.","Heart Disease"
"Symptoms include palpitations and irregular heartbeat. Risk factors include high cholesterol and obesity.","Heart Disease"
"Shortness of breath and fatigue after walking short distances. Diagnosis of congestive heart failure.","Heart Disease"
"Patient reports tightness in chest and dizziness. ECG shows signs of coronary artery disease.","Heart Disease"
"History of myocardial infarction. Currently experiencing angina symptoms under stress.","Heart Disease"
"Persistent cough with yellow phlegm, fever, and chest congestion. Lung sounds reveal crackles.","Respiratory Infection"
"Sore throat, runny nose, and sneezing. Diagnosed with acute bronchitis.","Respiratory Infection"
"Difficulty breathing and wheezing. Patient has a high fever and productive cough.","Respiratory Infection"
"Shortness of breath accompanied by chest pain when coughing. Sputum culture indicates bacterial infection.","Respiratory Infection"
"Nasal congestion and sinus pressure. Diagnosed with upper respiratory tract infection.","Respiratory Infection"
"Routine checkup shows blood pressure reading of 160/100 mmHg. Patient reports occasional headaches.","Hypertension"
"Consistently high blood pressure readings over several months. Prescribed Lisinopril for management.","Hypertension"
"Patient experiences episodic blurred vision and nosebleeds. BP is 150/95.","Hypertension"
"High salt intake and family history of high blood pressure. Diagnosis of essential hypertension.","Hypertension"
"Asymptomatic elevation of blood pressure detected during screening. Reading is 145/90.","Hypertension"
"Patient has frequent thirst and needs to urinate often at night. Glucose tolerance test was positive.","Diabetes"
"Chest discomfort radiating to the jaw. History of hypertension and smoking.","Heart Disease"
"Severe cough and body aches. Patient feels weak and has a temperature of 102F.","Respiratory Infection"
"BP reading 170/110. Patient has a history of stroke and kidney issues.","Hypertension"
